index,conventional_buildings,building,building_occupants,occupant,building_design,facility,adaptation_urban,urban_life,urban_environment,urban_planning,city_center,dwell,housing,suburban,neighborhood,apartment,distance_city,citywide,urban_walking,suburbanization,city_centre,suburbanization_process,exurban_development,urbanization,old_city,new_city,urban_regeneration,urban_sites,urbanism,urban_area,urban_planners,new_building,urban_green,urban_environments,designer,urban_spaces,neighbourhood_building,urban_parks,historic_urban,apartment_design,apartment_building,apartment_residents,neighborhood_environment,neighborhood_appreciation,residential_neighborhood,young_urban,urban_form,urban_design,housing_development,neighborhood_level,public_housing,commodity_housing,neighborhood_characteristics,urban_cities,urban_hukou,urban_renewal,neurourbanism,dweller,urban_density,habitat_design,neighborhood_retail,english_housing,housing_quality,housing_factors,personal_housing,same_neighborhood,ses_neighborhoods,income_neighborhoods,neighborhood_income,megacity,neighborhood_impact,neighborhood_planning,neighborhood_satisfaction,courtyard_design,neighborhood_built,neighborhood_disorder,housing_neighborhoods,cluster_buildings,urban_structure,housing_characteristics,effect_housing,effects_housing,building_morphology,urban_greenness,policy_housing,neighborhood_relations,company_housing,housing_communities,urban_settings,urban_infrastructure,urban_living,urbanized,green_urban,urban_residential,compact_neighborhoods,suburban_neighborhoods,urban_forms,neighborhood_social,compact_city,city_residents,urban_sprawl
swb_measures,0.2404564917087555,0.08761385083198547,0.06150205060839653,0.13811127841472626,0.22916315495967865,0.18634936213493347,0.09670411050319672,0.1507287472486496,0.13798415660858154,0.09460630267858505,0.18504028022289276,0.17756928503513336,0.10640513151884079,,0.05059102177619934,0.10882458090782166,0.11672002822160721,0.1312747746706009,0.12704156339168549,,,0.05809701234102249,0.11113683134317398,0.10779959708452225,0.23901355266571045,0.08594868332147598,0.05771370604634285,0.10346973687410355,0.1060316413640976,0.2355450540781021,,,0.11867708712816238,,0.09266486018896103,0.10464146733283997,0.13030420243740082,0.10821453481912613,0.1224384754896164,0.09407996386289597,0.16297860443592072,0.1631278544664383,0.21732693910598755,0.05198638513684273,0.09640113264322281,0.14679847657680511,0.11284755915403366,,0.09266266971826553,0.10152982175350189,,0.061218470335006714,,0.09788471460342407,0.13660867512226105,0.11809197813272476,0.10765423625707626,0.18381072580814362,0.12686574459075928,0.243302583694458,0.16746629774570465,0.13684576749801636,,0.12049175053834915,0.16260495781898499,0.10026876628398895,0.08189411461353302,0.16648325324058533,0.10934190452098846,,,0.1910405308008194,,0.16605216264724731,0.2346118837594986,0.23580780625343323,0.12001550197601318,,0.14559030532836914,0.18508782982826233,,0.053179070353507996,0.1756071001291275,0.1949664056301117,0.14603610336780548,,0.07300111651420593,0.09869939833879471,0.28919991850852966,0.14633646607398987,0.2713139057159424,0.057784684002399445,0.19947384297847748,,0.103359155356884,,0.20390070974826813,0.1520681232213974,0.10429652035236359,0.1690194308757782,0.10386782884597778
assessment,0.2404564917087555,0.16122981905937195,,,0.22916315495967865,0.06627871096134186,0.09670411050319672,0.05543551594018936,0.12728773057460785,0.12750139832496643,0.1055973693728447,0.09035983681678772,,0.14998796582221985,0.07472963631153107,0.10882458090782166,0.1126285046339035,0.1006227657198906,0.1845279335975647,0.15662725269794464,,0.11958891153335571,0.11113683134317398,0.06704100966453552,0.0521247461438179,0.07525026053190231,,,,,0.19595345854759216,0.0560443289577961,0.11867708712816238,,0.07632435113191605,0.08272269368171692,0.2582858204841614,0.14003120362758636,0.09451741725206375,0.153319850564003,0.10984409600496292,,0.13231414556503296,0.25590381026268005,0.11276322603225708,0.18476925790309906,0.1452503651380539,,0.1493649184703827,0.10152982175350189,,0.06517506390810013,0.07076885551214218,0.10978107899427414,,0.05774017795920372,,,0.0642368495464325,0.243302583694458,0.10940001904964447,0.22354044020175934,0.07335618883371353,0.06899894773960114,0.16195310652256012,0.07933466136455536,0.07169783860445023,0.08298566192388535,0.09231814742088318,,0.10577142238616943,0.18622863292694092,0.07732411473989487,0.06818851828575134,0.10237424075603485,0.12425555288791656,0.09638310968875885,0.08759602159261703,0.14559030532836914,0.06320792436599731,0.19335335493087769,,0.10625181347131729,0.1497793048620224,0.0944937914609909,0.21263442933559418,0.09952551126480103,0.13585883378982544,0.28919991850852966,0.14633646607398987,0.18242523074150085,,0.1285467892885208,0.08884337544441223,,0.09432860463857651,0.1909928321838379,0.07875245064496994,,0.11474549770355225,0.10386782884597778
measurement,0.2404564917087555,0.09674419462680817,0.06297146528959274,,0.22916315495967865,0.18634936213493347,0.09670411050319672,0.1507287472486496,,0.12750139832496643,0.18504028022289276,0.09035983681678772,0.10640513151884079,,0.07472963631153107,0.10882458090782166,0.1520058810710907,0.1312747746706009,0.1351616382598877,0.2634485065937042,,0.05809701234102249,0.11113683134317398,0.10779959708452225,0.23901355266571045,0.08594868332147598,0.055363308638334274,0.09949619323015213,0.1060316413640976,0.2355450540781021,0.09005196392536163,,0.11867708712816238,0.17079444229602814,0.05008337274193764,0.10464146733283997,0.07433474063873291,,0.1224384754896164,0.06381381303071976,0.10984409600496292,0.1631278544664383,0.10124614834785461,0.05198638513684273,0.11276322603225708,0.14679847657680511,0.11284755915403366,,0.09266266971826553,0.10152982175350189,,0.06517506390810013,,0.10978107899427414,0.13660867512226105,0.1191338375210762,0.0706436038017273,0.18381072580814362,,0.243302583694458,0.16746629774570465,0.22354044020175934,,0.15610027313232422,0.16260495781898499,0.09991886466741562,0.11140693724155426,0.16648325324058533,0.17993810772895813,,,0.1910405308008194,,,0.16152453422546387,0.11440285295248032,0.12001550197601318,0.06433132290840149,0.14559030532836914,0.06320792436599731,0.14961141347885132,,0.07941760867834091,0.0695018544793129,0.14603610336780548,,0.17499592900276184,0.09869939833879471,0.28919991850852966,0.14633646607398987,0.07451239228248596,0.1525227278470993,0.06187354028224945,,0.103359155356884,0.09432860463857651,0.20390070974826813,0.1520681232213974,0.07825140655040741,0.1690194308757782,0.10386782884597778
perception_quality,0.06131945550441742,0.21792498230934143,0.16148722171783447,0.21426786482334137,0.10175006836652756,0.18634936213493347,0.13218583166599274,0.16082163155078888,0.06826631724834442,0.14562299847602844,0.18504028022289276,0.23526234924793243,0.10640513151884079,0.059085503220558167,0.23876988887786865,0.09604960680007935,0.052643146365880966,0.1312747746706009,0.12704156339168549,0.14334240555763245,0.1104879304766655,0.24472635984420776,0.08807971328496933,0.21562734246253967,0.23901355266571045,0.058773357421159744,0.08168379962444305,0.1239282488822937,0.15079669654369354,0.10450603812932968,0.12927618622779846,0.22385449707508087,,0.15326499938964844,0.08592772483825684,0.061383962631225586,0.13665686547756195,,0.1224384754896164,0.05361251160502434,0.10217022895812988,0.11456911265850067,0.16152895987033844,,0.13324837386608124,0.17755644023418427,0.1019921600818634,0.0722629651427269,0.11174463480710983,0.08888828754425049,0.09539800882339478,,0.18138545751571655,,0.14984816312789917,0.11809197813272476,0.07186825573444366,0.13588778674602509,0.05150006711483002,0.2103087157011032,0.21822459995746613,0.0797514095902443,0.15516284108161926,0.2361888438463211,0.16260495781898499,0.11463244259357452,0.18790198862552643,0.17350031435489655,0.13216568529605865,0.23263932764530182,0.11153710633516312,0.23039111495018005,0.07350006699562073,0.14647427201271057,0.1835695505142212,0.16848903894424438,0.12001550197601318,,0.22678102552890778,0.18718332052230835,,0.1802292913198471,0.07941760867834091,0.18289411067962646,0.15465037524700165,0.08956421166658401,0.1390659362077713,0.28270357847213745,0.07760234922170639,,0.2444131076335907,0.051445648074150085,0.12117452919483185,0.17299333214759827,0.14421644806861877,0.16027887165546417,0.20390070974826813,0.1520681232213974,0.19625946879386902,0.19935214519500732,0.1383550465106964
physiological_measures,0.2404564917087555,0.1506875455379486,,0.2712884843349457,0.22916315495967865,0.18634936213493347,0.18969246745109558,0.2539927065372467,0.12489946186542511,0.1258520632982254,0.18504028022289276,0.23526234924793243,0.20634648203849792,,0.30115464329719543,0.10882458090782166,0.06937304884195328,0.1312747746706009,0.12704156339168549,0.12386445701122284,0.14610648155212402,0.24472635984420776,0.11113683134317398,0.13467709720134735,0.23901355266571045,0.12040680646896362,0.2883710265159607,0.13633471727371216,0.1060316413640976,0.2355450540781021,0.20492707192897797,0.06332197785377502,0.11867708712816238,0.14005595445632935,0.12105528265237808,0.16019463539123535,0.12610995769500732,,0.12642133235931396,0.07747746258974075,0.10984409600496292,0.1631278544664383,0.1355789601802826,0.1540984809398651,0.1430874764919281,0.14679847657680511,0.20043735206127167,0.1210920587182045,0.09266266971826553,0.10152982175350189,,0.061218470335006714,0.15340225398540497,0.18785139918327332,0.13660867512226105,0.11809197813272476,,0.18381072580814362,0.11601072549819946,0.243302583694458,0.16746629774570465,0.13684576749801636,,0.1930132806301117,0.16260495781898499,0.19439692795276642,0.12813809514045715,0.16648325324058533,0.16371822357177734,0.1120394617319107,0.11147882789373398,0.1910405308008194,0.14802910387516022,0.08789962530136108,0.16152453422546387,0.11440285295248032,0.12001550197601318,,0.14660049974918365,0.08320518583059311,0.11289136111736298,0.1802292913198471,0.07941760867834091,0.08924750983715057,0.14603610336780548,0.17087413370609283,0.09132992476224899,0.246663436293602,0.28919991850852966,0.14633646607398987,0.2444131076335907,0.16992318630218506,0.12636873126029968,0.17299333214759827,0.38388878107070923,0.24093851447105408,0.20390070974826813,0.21035495400428772,0.19625946879386902,0.1690194308757782,0.1383550465106964
performancebased,0.2404564917087555,0.15937678515911102,0.14995412528514862,0.2113688886165619,0.22916315495967865,0.11202798038721085,0.1515684574842453,0.16082163155078888,0.2526117265224457,0.219624862074852,0.1055973693728447,0.23526234924793243,0.15295325219631195,0.1653667837381363,0.12316770851612091,0.10882458090782166,0.14564701914787292,0.15764926373958588,0.11577848345041275,0.12386445701122284,0.12779630720615387,0.24472635984420776,0.11113683134317398,0.12754333019256592,0.19355762004852295,,0.22253184020519257,0.21875430643558502,0.17544730007648468,0.20267094671726227,0.07685263454914093,0.14521388709545135,0.11867708712816238,0.15326499938964844,0.0787976011633873,0.17726340889930725,0.12610995769500732,0.14930360019207,0.14523039758205414,0.144517719745636,0.10984409600496292,0.15827646851539612,0.11659853905439377,0.18708886206150055,0.13003259897232056,0.14679847657680511,0.11284755915403366,0.13815034925937653,0.09266266971826553,0.10152982175350189,0.16694894433021545,0.08214674144983292,0.15340225398540497,0.20046484470367432,0.162151500582695,0.16403435170650482,0.19083179533481598,0.1526373326778412,0.059220802038908005,0.243302583694458,0.10608505457639694,0.14009356498718262,0.1946556568145752,0.2361888438463211,0.16195310652256012,0.21949169039726257,0.18420952558517456,0.08298566192388535,0.13095244765281677,0.07446911185979843,0.28123903274536133,0.18622863292694092,0.19830217957496643,0.0754149779677391,0.2210477739572525,0.12119024991989136,0.11484768241643906,0.10331335663795471,0.14559030532836914,0.07646626979112625,,0.2204362154006958,0.06837861984968185,0.05358210951089859,0.14241352677345276,0.08956421166658401,0.18207155168056488,0.28270357847213745,0.28919991850852966,0.16120046377182007,0.2444131076335907,,0.11505760997533798,0.17299333214759827,0.2842922508716583,0.14310958981513977,0.1909928321838379,0.22842273116111755,0.19625946879386902,0.11474549770355225,0.19992096722126007
resilient_performance,0.2404564917087555,0.15937678515911102,0.14995412528514862,0.10040830820798874,0.22916315495967865,0.11202798038721085,0.1515684574842453,0.16082163155078888,0.14145293831825256,0.219624862074852,0.1055973693728447,0.23526234924793243,0.15295325219631195,0.1653667837381363,0.12316770851612091,0.10882458090782166,0.1526039093732834,0.07343617081642151,0.11577848345041275,0.12386445701122284,0.12779630720615387,0.24472635984420776,0.11113683134317398,0.07181233912706375,0.19355762004852295,0.14023110270500183,0.10509097576141357,0.21875430643558502,0.16648639738559723,0.10450603812932968,0.06967952102422714,0.14521388709545135,0.22511740028858185,0.15326499938964844,0.10551176220178604,0.1381833404302597,0.21731987595558167,0.10328727215528488,0.11259227246046066,0.05361251160502434,0.11317750811576843,0.15827646851539612,0.11659853905439377,,0.23207178711891174,0.14679847657680511,0.11284755915403366,0.16102461516857147,0.10994426161050797,0.12107150256633759,0.16694894433021545,0.08214674144983292,0.15340225398540497,0.20046484470367432,0.162151500582695,0.16403435170650482,,0.1526373326778412,0.059220802038908005,0.243302583694458,0.10608505457639694,0.14009356498718262,0.07338567823171616,0.2361888438463211,0.16195310652256012,0.21949169039726257,0.12813809514045715,0.08298566192388535,0.13095244765281677,0.07942778617143631,0.28123903274536133,0.23683714866638184,0.13447578251361847,0.24657395482063293,0.2210477739572525,0.12119024991989136,0.11484768241643906,0.10331335663795471,0.14559030532836914,0.1007336899638176,0.10587893426418304,0.1802292913198471,,0.06461015343666077,0.14241352677345276,0.09338966012001038,0.18207155168056488,0.28270357847213745,0.28919991850852966,0.16120046377182007,0.2444131076335907,0.12827953696250916,0.17393243312835693,0.17299333214759827,,0.14310958981513977,0.1909928321838379,0.19426994025707245,0.19625946879386902,0.11474549770355225,0.1383550465106964
performance_buildings,0.27199694514274597,0.2102181613445282,0.14995412528514862,0.10040830820798874,0.22916315495967865,0.18733848631381989,0.1515684574842453,0.16082163155078888,0.17849518358707428,0.219624862074852,0.18504028022289276,0.23526234924793243,0.15295325219631195,0.1653667837381363,0.12316770851612091,0.123257115483284,0.15426062047481537,0.1312747746706009,0.12704156339168549,0.13826429843902588,0.17659355700016022,0.24472635984420776,0.11113683134317398,0.10779959708452225,0.23901355266571045,0.05717319995164871,0.21709196269512177,0.21875430643558502,0.16648639738559723,0.10450603812932968,0.12079973518848419,0.14521388709545135,0.21657730638980865,0.15326499938964844,0.0810621827840805,0.27708700299263,0.12610995769500732,0.08986863493919373,0.12317286431789398,0.05361251160502434,0.10984409600496292,0.15827646851539612,0.18458332121372223,0.09214545786380768,0.13603247702121735,0.14679847657680511,0.11284755915403366,0.13815034925937653,0.09266266971826553,0.10152982175350189,0.16694894433021545,0.19248291850090027,0.19877156615257263,0.20046484470367432,0.16293056309223175,0.22522716224193573,0.22871294617652893,0.23194850981235504,0.08752930909395218,0.243302583694458,0.10608505457639694,0.14009356498718262,0.11221884191036224,0.2664370536804199,0.16260495781898499,0.21949169039726257,0.12813809514045715,0.13176329433918,0.13095244765281677,0.07446911185979843,0.28123903274536133,0.1910405308008194,0.11008050292730331,0.11487831175327301,0.2210477739572525,0.162330761551857,0.15369203686714172,0.1357610523700714,0.14559030532836914,0.08441725373268127,,0.1802292913198471,0.09223005175590515,0.16196411848068237,0.14603610336780548,0.08956421166658401,0.22523926198482513,0.28270357847213745,0.28919991850852966,0.16120046377182007,0.2444131076335907,0.08578209578990936,0.11505760997533798,0.17299333214759827,0.2296084612607956,0.14310958981513977,0.20390070974826813,0.19426994025707245,0.19625946879386902,0.11474549770355225,0.1383550465106964
policy_performance,0.12083389610052109,0.15937678515911102,0.14995412528514862,0.20146246254444122,0.05888272449374199,0.11202798038721085,0.1515684574842453,0.16082163155078888,0.14145293831825256,0.219624862074852,0.07276651263237,0.23526234924793243,0.15295325219631195,0.1653667837381363,0.20889079570770264,0.09604960680007935,0.14564701914787292,0.07343617081642151,0.11577848345041275,0.12386445701122284,0.14428284764289856,0.24472635984420776,0.0995139479637146,0.07181233912706375,0.19355762004852295,,0.10509097576141357,0.21875430643558502,0.16648639738559723,0.178461492061615,0.06967952102422714,0.14521388709545135,0.18119528889656067,0.15326499938964844,0.0787976011633873,0.1381833404302597,0.13777998089790344,0.1113976389169693,0.052190013229846954,0.05361251160502434,0.2418498992919922,0.15827646851539612,0.11659853905439377,,0.13003259897232056,0.11534874141216278,0.11933623999357224,0.13815034925937653,,0.08888828754425049,0.16694894433021545,0.08214674144983292,0.15340225398540497,0.20046484470367432,0.162151500582695,0.16403435170650482,,0.1526373326778412,0.059220802038908005,0.18485113978385925,0.10608505457639694,0.14009356498718262,0.07338567823171616,0.2361888438463211,0.15373466908931732,0.21949169039726257,0.12813809514045715,0.06439591944217682,0.13095244765281677,0.07446911185979843,0.28123903274536133,0.07798963040113449,0.061332277953624725,0.0754149779677391,0.2210477739572525,0.12119024991989136,0.12001121044158936,0.10331335663795471,,0.1388564556837082,,0.1802292913198471,,0.12045343965291977,0.14241352677345276,0.16172489523887634,0.18207155168056488,0.28270357847213745,0.059478528797626495,0.16120046377182007,0.2444131076335907,,0.11921396106481552,0.17299333214759827,,0.14310958981513977,0.1548590511083603,0.19426994025707245,0.19625946879386902,0.08885838836431503,0.1383550465106964
