index,psychological_wellbeing,wellbeing,health,well,illness,personal_well,psychological,depression,health_crisis,mental_health,mental_wellbeing,mental,impact_mental,mental_illness,poor_mental,feel_healthy,healthy,mood,mood_disturbance,subjective_well,psychological_restoration,mental_well,human_health,health_promoting,geriatric_depression,psychophysiological_wellbeing,health_promotion,social_health,emotional_well,subjective_wellbeing,residents_mental,mental_functioning,internal_well,psychology,psychological_demands,depression_anxiety,mental_hrqol,neuropsychological,hedonic_well,individual_mental,positive_mental,person_mental,mental_disorder,mental_restoration,psychological_health,psychological_well,high_depression,determinants_depression
conventional_buildings,0.12602920830249786,0.22071869671344757,0.08480870723724365,0.17026914656162262,0.07260359823703766,0.2396816462278366,0.06030174717307091,0.16472899913787842,0.18396715819835663,0.18298043310642242,0.24439997971057892,0.12936535477638245,0.1277174949645996,0.0892394483089447,0.10871338099241257,0.09225963056087494,0.1158113107085228,0.09019847959280014,0.08452631533145905,0.13437171280384064,0.15237070620059967,0.19538946449756622,0.1099226251244545,0.09222850948572159,0.22090210020542145,0.16555584967136383,0.05605817213654518,0.08054821193218231,0.06539797782897949,0.16379116475582123,0.07526730000972748,0.07588482648134232,0.16502198576927185,0.06936483830213547,0.23211096227169037,0.08924458175897598,0.08960621803998947,0.06599100679159164,0.09436378628015518,0.1719493418931961,0.11444298177957535,0.06401538848876953,0.11687619984149933,0.11630517989397049,0.18362075090408325,0.13872617483139038,0.12951557338237762,0.16449449956417084
building,0.12602920830249786,0.22071869671344757,,0.1412682682275772,,0.2396816462278366,,0.07903441786766052,0.18396715819835663,0.18298043310642242,0.24439997971057892,0.12936535477638245,0.07457824796438217,0.0892394483089447,,0.09225963056087494,,0.09019847959280014,,0.13437171280384064,0.15237070620059967,0.19321808218955994,,0.05472767353057861,0.22090210020542145,,0.05605817213654518,0.08054821193218231,0.06539797782897949,0.14705893397331238,0.07526730000972748,0.07588482648134232,0.16502198576927185,0.06936483830213547,0.23211096227169037,0.08924458175897598,0.08960621803998947,0.06599100679159164,0.09436378628015518,0.1719493418931961,0.09483996033668518,0.06401538848876953,0.11687619984149933,0.11630517989397049,0.0750235989689827,0.13872617483139038,0.12951557338237762,0.16449449956417084
building_occupants,0.12602920830249786,0.22071869671344757,0.12028754502534866,0.17026914656162262,0.05894038826227188,0.2396816462278366,0.09812009334564209,0.16472899913787842,0.18396715819835663,0.2094414085149765,0.24439997971057892,0.1322990357875824,0.14022968709468842,0.11007318645715714,0.07908599078655243,0.09225963056087494,,0.09019847959280014,,0.13437171280384064,0.1864069253206253,0.19321808218955994,0.10090344399213791,0.1796526163816452,0.22090210020542145,,0.11997607350349426,0.08054821193218231,0.1345580518245697,0.14705893397331238,0.07694694399833679,0.2604767978191376,0.16502198576927185,0.09251604229211807,0.23211096227169037,0.10253916680812836,0.08960621803998947,0.15240348875522614,0.11375848948955536,0.2149461805820465,0.14884954690933228,0.14802074432373047,0.14357396960258484,0.172929048538208,0.15223748981952667,0.13872617483139038,0.15812943875789642,0.16449449956417084
occupant,,0.0695987343788147,0.12028754502534866,0.1412682682275772,0.05894038826227188,0.14755754172801971,0.09812009334564209,0.09576334059238434,0.10199785977602005,0.2094414085149765,,0.1322990357875824,0.07457824796438217,0.11007318645715714,,0.0856858417391777,,0.08087443560361862,,0.13437171280384064,0.1864069253206253,0.19321808218955994,0.10090344399213791,0.05472767353057861,,,0.11997607350349426,0.08054821193218231,0.1345580518245697,0.10937568545341492,0.07694694399833679,0.2604767978191376,0.07280361652374268,0.09251604229211807,,0.10253916680812836,,0.15240348875522614,0.11375848948955536,0.1195889487862587,0.08130043745040894,,0.14357396960258484,0.10218382626771927,,0.12343159317970276,0.08240898698568344,0.16449449956417084
building_design,0.12602920830249786,0.22071869671344757,0.1320018768310547,0.17026914656162262,,0.2396816462278366,,0.16472899913787842,0.18396715819835663,0.18298043310642242,0.24439997971057892,0.12936535477638245,0.18554173409938812,0.09609631448984146,0.13951577246189117,0.09225963056087494,0.11174438148736954,0.1766742318868637,0.08080834895372391,0.13437171280384064,0.15237070620059967,0.19321808218955994,0.11473727226257324,0.2018013894557953,0.22090210020542145,,0.08132578432559967,0.08054821193218231,0.07662221789360046,0.14705893397331238,0.15099413692951202,0.13065066933631897,0.16502198576927185,0.11458677798509598,0.23211096227169037,0.16655787825584412,0.09913238137960434,0.1263173669576645,0.09436378628015518,0.1719493418931961,0.11645714193582535,0.1435253918170929,0.11687619984149933,0.11630517989397049,0.15255962312221527,0.3230908215045929,0.17815375328063965,0.16449449956417084
facility,0.15420383214950562,0.13736607134342194,,,,,0.08850276470184326,0.05441940948367119,0.24047903716564178,,0.20137982070446014,0.1553545743227005,0.05138874053955078,,,,,,,,,,,,,,,,,0.09380438923835754,,,0.08037501573562622,,,,0.06278025358915329,,,0.06257392466068268,,,,0.055786795914173126,,,,
adaptation_urban,0.08149602264165878,0.28393250703811646,0.13971826434135437,0.1412682682275772,0.06252242624759674,0.14755754172801971,0.14119157195091248,0.09576334059238434,0.21364381909370422,0.17739489674568176,0.05966416746377945,0.12936535477638245,0.07457824796438217,0.25545263290405273,0.18884755671024323,0.08927883952856064,0.132407546043396,0.06888523697853088,0.11972372233867645,0.13437171280384064,0.21033482253551483,0.19321808218955994,,0.05472767353057861,0.06441063433885574,0.09441852569580078,0.14722374081611633,0.08054821193218231,0.1345580518245697,0.15351521968841553,0.1073945164680481,0.11793407052755356,0.07280361652374268,0.16865679621696472,0.06406380236148834,0.1035841703414917,0.1446613222360611,0.15240348875522614,,0.1195889487862587,0.08130043745040894,,0.16900670528411865,0.17795532941818237,0.11248429119586945,0.1862896829843521,0.054400231689214706,0.16449449956417084
urban_life,0.0842714011669159,0.0695987343788147,,0.1412682682275772,0.27388036251068115,0.16278143227100372,0.06210612133145332,0.0919993445277214,0.10199785977602005,0.08825603127479553,,0.12936535477638245,0.08423778414726257,0.13063356280326843,0.09513157606124878,,,0.05250060558319092,0.1152445524930954,0.13437171280384064,0.13875070214271545,0.19321808218955994,,0.05472767353057861,,0.17788533866405487,0.10036232322454453,0.14302369952201843,,0.05443207174539566,0.12683571875095367,,0.07280361652374268,0.28028297424316406,,,,,0.23968683183193207,,0.08130043745040894,,0.07970600575208664,0.10218382626771927,0.06325433403253555,0.08758872747421265,0.13274914026260376,0.16449449956417084
urban_environment,0.09951947629451752,0.13632388412952423,,0.18250927329063416,0.07057089358568192,0.14755754172801971,0.07950719445943832,0.07221779227256775,0.10199785977602005,0.13039562106132507,0.12826184928417206,0.12936535477638245,0.07457824796438217,0.14970436692237854,0.0660371482372284,0.1284351944923401,0.10117942094802856,0.09970282763242722,0.17682139575481415,0.1639443039894104,,0.19321808218955994,0.1886676847934723,0.05472767353057861,0.23326607048511505,0.05368504673242569,0.2461036741733551,0.17263585329055786,0.17330478131771088,0.08934421837329865,0.059042755514383316,0.12228946387767792,0.1656496226787567,,0.12703438103199005,0.22214151918888092,0.08281378448009491,0.11998357623815536,,0.07858607172966003,0.2015935778617859,0.18036474287509918,,0.10218382626771927,0.09976723790168762,0.19568128883838654,,0.16449449956417084
urban_planning,0.15350298583507538,0.22071869671344757,0.11123131960630417,0.15537934005260468,0.12308244407176971,0.2396816462278366,0.1606874316930771,0.14049415290355682,0.1696033924818039,0.18298043310642242,,0.12936535477638245,0.20170941948890686,0.11007318645715714,0.09828504920005798,0.08967853337526321,0.11777093261480331,,,0.13437171280384064,0.15237070620059967,0.19321808218955994,0.1891249269247055,0.17315563559532166,0.22090210020542145,,0.05506853014230728,0.08054821193218231,0.21852771937847137,0.1305534541606903,0.09491515904664993,0.11793407052755356,0.14495764672756195,0.09251604229211807,0.23042817413806915,0.10253916680812836,,0.15240348875522614,0.09436378628015518,0.1195889487862587,0.0987018272280693,0.052743177860975266,0.14357396960258484,0.1981998085975647,,0.13872617483139038,0.12951557338237762,0.16449449956417084
city_center,0.21224825084209442,0.1919952630996704,0.09073785692453384,0.11216699331998825,0.07459065318107605,0.10113038867712021,0.06234489008784294,0.13562655448913574,0.1387157142162323,0.14636459946632385,0.15127725899219513,0.13108956813812256,0.1943558007478714,0.0688835009932518,0.13354149460792542,0.15178552269935608,,,,0.0742797777056694,,0.09906841069459915,0.058960236608982086,0.08551370352506638,0.21413429081439972,0.06427951902151108,0.06878332793712616,0.06223149225115776,,,0.0794229656457901,0.14172327518463135,0.2114650160074234,0.10523618757724762,,0.0968833789229393,,0.07540961354970932,0.15138442814350128,,,0.1142742931842804,0.19911439716815948,0.2556394636631012,0.19500721991062164,,0.09046370536088943,0.16883088648319244
dwell,,0.1504310965538025,0.05902448669075966,0.24230410158634186,,0.08073234558105469,0.11517664045095444,0.16917124390602112,0.10481221973896027,0.10773614048957825,,0.09615190327167511,,0.15148253738880157,0.07818753272294998,,,0.07321882992982864,0.14791688323020935,0.10277208685874939,,0.14882785081863403,0.16438496112823486,0.05829840153455734,0.07509753108024597,0.15239059925079346,,0.09129419177770615,0.07201848179101944,,0.055790361016988754,0.05819661542773247,,,,,0.1091909408569336,0.0714174136519432,0.13618342578411102,0.16126488149166107,0.17687617242336273,,,,0.12663547694683075,0.0780482292175293,,
housing,0.12602920830249786,0.22071869671344757,,0.17026914656162262,,0.2396816462278366,0.10375745594501495,0.16472899913787842,0.10199785977602005,0.18298043310642242,,0.12936535477638245,0.1277174949645996,0.08541347831487656,0.07908599078655243,,,,,0.14210793375968933,0.15294326841831207,0.19321808218955994,,0.09441271424293518,0.22090210020542145,,,0.08054821193218231,0.14400027692317963,0.1305534541606903,0.059042755514383316,0.07588482648134232,0.07280361652374268,,0.1290142834186554,0.08827138692140579,0.07581130415201187,0.06599100679159164,0.09436378628015518,0.08082849532365799,0.11444298177957535,0.052743177860975266,,0.11630517989397049,,0.13872617483139038,0.12951557338237762,0.16449449956417084
suburban,,0.10081053525209427,,0.17026914656162262,0.12492965906858444,0.14755754172801971,0.06671711057424545,0.16472899913787842,0.10199785977602005,,0.08110229671001434,0.12936535477638245,0.15375055372714996,0.06093943119049072,0.13984538614749908,,0.14143511652946472,0.13276034593582153,0.08834225684404373,0.14985349774360657,0.09616817533969879,0.19321808218955994,,0.15478341281414032,0.16862159967422485,,,0.08054821193218231,0.10238359868526459,0.09812501817941666,0.059042755514383316,0.06924594193696976,0.07952975481748581,,0.1290142834186554,0.11860482394695282,0.07581130415201187,0.07823197543621063,0.053024597465991974,0.10276878625154495,0.1834612488746643,0.13338997960090637,,0.10471753031015396,0.2037612944841385,0.13014937937259674,0.08255577087402344,0.16449449956417084
neighborhood,0.11096303164958954,0.1072290912270546,0.18406985700130463,0.10978461056947708,,,,0.08679410815238953,,0.17766502499580383,0.0630287155508995,0.1249350756406784,,0.12909778952598572,0.18645615875720978,0.22964587807655334,0.19854527711868286,0.09038182348012924,0.10244258493185043,0.09118498116731644,,,0.05946747213602066,,0.08063054084777832,0.097073033452034,0.1561567485332489,0.1531573086977005,0.058608438819646835,,0.08575718849897385,0.18755431473255157,,0.12451305985450745,0.07983779907226562,,0.10419371724128723,0.059109773486852646,0.17616286873817444,0.22426706552505493,0.05744832381606102,,0.11961720138788223,,,,0.14867626130580902,
apartment,0.12810176610946655,0.2637573778629303,0.08997008204460144,0.056185878813266754,0.05894038826227188,0.051091499626636505,0.09812009334564209,0.11130420863628387,0.07091684639453888,0.22445784509181976,0.12826184928417206,0.11964070796966553,,0.20268166065216064,0.09149273484945297,0.0856858417391777,0.06470634043216705,0.09970282763242722,0.17682139575481415,,0.07532297074794769,0.11781647056341171,,,,0.12443210184574127,0.2461036741733551,0.10441412031650543,0.17330478131771088,0.21120214462280273,0.1255391389131546,0.12026345729827881,0.14559701085090637,0.09251604229211807,0.12703438103199005,0.10253916680812836,0.1534729152917862,0.15240348875522614,0.10626132041215897,0.1195889487862587,0.2015935778617859,0.0524684339761734,0.14357396960258484,0.05804484710097313,,0.12343159317970276,0.1094127669930458,0.06600983440876007
distance_city,0.1313878893852234,0.17736172676086426,0.07319751381874084,0.17026914656162262,0.10910855233669281,0.13019824028015137,0.20511341094970703,0.16472899913787842,0.07396053522825241,0.14636459946632385,0.15203645825386047,,0.1277174949645996,0.15856142342090607,0.07908599078655243,0.17362771928310394,,,0.07925880700349808,0.1582530289888382,0.0854525938630104,0.18034206330776215,0.053072065114974976,0.23615415394306183,0.21413429081439972,,,0.13686814904212952,0.10912525653839111,0.05514868348836899,0.0794229656457901,0.059346992522478104,0.08280837535858154,,0.1290142834186554,0.0968833789229393,0.1291934698820114,,,0.061700135469436646,0.11444298177957535,0.1257317215204239,0.19911439716815948,0.2556394636631012,0.22510305047035217,0.10268548876047134,0.08910918980836868,0.10209332406520844
citywide,0.1313878893852234,0.07995400577783585,0.07319751381874084,,0.15596836805343628,0.06157730892300606,0.07336630672216415,0.08005740493535995,,0.14636459946632385,0.16308912634849548,0.11087259650230408,,,,0.1674395203590393,,,,0.2037641406059265,0.1586267650127411,0.06716502457857132,0.12335097789764404,0.14946188032627106,0.21413429081439972,,,0.06223149225115776,0.1286524087190628,0.1458093374967575,0.0794229656457901,,0.1325819045305252,,0.1407364308834076,0.09828948974609375,,,,,,0.11519618332386017,0.19911439716815948,0.2556394636631012,0.15423069894313812,0.06562896817922592,0.0766935870051384,0.07914362102746964
