index,internal_well,psychological_wellbeing,psychological_health,geriatric_depression,mental_well,determinants_depression,depression_anxiety,residents_mental,individual_mental,mental_disorder,mental_restoration,psychophysiological_wellbeing,mental_health,health_crisis,well,human_health,mood_disturbance,health,psychological_well,mood,health_promotion,mental_functioning,mental_illness,social_health,impact_mental,person_mental,subjective_well,personal_well,neuropsychological,mental_wellbeing,depression,poor_mental,emotional_well,subjective_wellbeing,psychological_restoration,wellbeing,psychological_demands,mental,high_depression,hedonic_well,feel_healthy,illness,health_promoting,psychological,mental_hrqol,psychology,positive_mental,healthy
conventional_buildings,0.1650219857692718,0.1260292083024978,0.1836207509040832,0.2209021002054214,0.1953894644975662,0.1644944995641708,0.0892445817589759,0.0752673000097274,0.1719493418931961,0.1168761998414993,0.1163051798939704,0.1655558496713638,0.1829804331064224,0.1839671581983566,0.1702691465616226,0.1099226251244545,0.084526315331459,0.0848087072372436,0.1387261748313903,0.0901984795928001,0.0560581721365451,0.0758848264813423,0.0892394483089447,0.0805482119321823,0.1277174949645996,0.0640153884887695,0.1343717128038406,0.2396816462278366,0.0659910067915916,0.2443999797105789,0.1647289991378784,0.1087133809924125,0.0653979778289794,0.1637911647558212,0.1523707062005996,0.2207186967134475,0.2321109622716903,0.1293653547763824,0.1295155733823776,0.0943637862801551,0.0922596305608749,0.0726035982370376,0.0922285094857215,0.0603017471730709,0.0896062180399894,0.0693648383021354,0.1144429817795753,0.1158113107085228
building,0.1650219857692718,0.1260292083024978,0.0750235989689827,0.2209021002054214,0.1932180821895599,0.1644944995641708,0.0892445817589759,0.0752673000097274,0.1719493418931961,0.1168761998414993,0.1163051798939704,,0.1829804331064224,0.1839671581983566,0.1412682682275772,,,,0.1387261748313903,0.0901984795928001,0.0560581721365451,0.0758848264813423,0.0892394483089447,0.0805482119321823,0.0745782479643821,0.0640153884887695,0.1343717128038406,0.2396816462278366,0.0659910067915916,0.2443999797105789,0.0790344178676605,,0.0653979778289794,0.1470589339733123,0.1523707062005996,0.2207186967134475,0.2321109622716903,0.1293653547763824,0.1295155733823776,0.0943637862801551,0.0922596305608749,,0.0547276735305786,,0.0896062180399894,0.0693648383021354,0.0948399603366851,
building_occupants,0.1650219857692718,0.1260292083024978,0.1522374898195266,0.2209021002054214,0.1932180821895599,0.1644944995641708,0.1025391668081283,0.0769469439983367,0.2149461805820465,0.1435739696025848,0.172929048538208,,0.2094414085149765,0.1839671581983566,0.1702691465616226,0.1009034439921379,,0.1202875450253486,0.1387261748313903,0.0901984795928001,0.1199760735034942,0.2604767978191376,0.1100731864571571,0.0805482119321823,0.1402296870946884,0.1480207443237304,0.1343717128038406,0.2396816462278366,0.1524034887552261,0.2443999797105789,0.1647289991378784,0.0790859907865524,0.1345580518245697,0.1470589339733123,0.1864069253206253,0.2207186967134475,0.2321109622716903,0.1322990357875824,0.1581294387578964,0.1137584894895553,0.0922596305608749,0.0589403882622718,0.1796526163816452,0.098120093345642,0.0896062180399894,0.092516042292118,0.1488495469093322,
occupant,0.0728036165237426,,,,0.1932180821895599,0.1644944995641708,0.1025391668081283,0.0769469439983367,0.1195889487862587,0.1435739696025848,0.1021838262677192,,0.2094414085149765,0.10199785977602,0.1412682682275772,0.1009034439921379,,0.1202875450253486,0.1234315931797027,0.0808744356036186,0.1199760735034942,0.2604767978191376,0.1100731864571571,0.0805482119321823,0.0745782479643821,,0.1343717128038406,0.1475575417280197,0.1524034887552261,,0.0957633405923843,,0.1345580518245697,0.1093756854534149,0.1864069253206253,0.0695987343788147,,0.1322990357875824,0.0824089869856834,0.1137584894895553,0.0856858417391777,0.0589403882622718,0.0547276735305786,0.098120093345642,,0.092516042292118,0.0813004374504089,
building_design,0.1650219857692718,0.1260292083024978,0.1525596231222152,0.2209021002054214,0.1932180821895599,0.1644944995641708,0.1665578782558441,0.150994136929512,0.1719493418931961,0.1168761998414993,0.1163051798939704,,0.1829804331064224,0.1839671581983566,0.1702691465616226,0.1147372722625732,0.0808083489537239,0.1320018768310547,0.3230908215045929,0.1766742318868637,0.0813257843255996,0.1306506693363189,0.0960963144898414,0.0805482119321823,0.1855417340993881,0.1435253918170929,0.1343717128038406,0.2396816462278366,0.1263173669576645,0.2443999797105789,0.1647289991378784,0.1395157724618911,0.0766222178936004,0.1470589339733123,0.1523707062005996,0.2207186967134475,0.2321109622716903,0.1293653547763824,0.1781537532806396,0.0943637862801551,0.0922596305608749,,0.2018013894557953,,0.0991323813796043,0.1145867779850959,0.1164571419358253,0.1117443814873695
facility,0.0803750157356262,0.1542038321495056,,,,,,,0.0625739246606826,,0.0557867959141731,,,0.2404790371656417,,,,,,,,,,,0.0513887405395507,,,,,0.2013798207044601,0.0544194094836711,,,0.0938043892383575,,0.1373660713434219,,0.1553545743227005,,,,,,0.0885027647018432,0.0627802535891532,,,
adaptation_urban,0.0728036165237426,0.0814960226416587,0.1124842911958694,0.0644106343388557,0.1932180821895599,0.1644944995641708,0.1035841703414917,0.1073945164680481,0.1195889487862587,0.1690067052841186,0.1779553294181823,0.0944185256958007,0.1773948967456817,0.2136438190937042,0.1412682682275772,,0.1197237223386764,0.1397182643413543,0.1862896829843521,0.0688852369785308,0.1472237408161163,0.1179340705275535,0.2554526329040527,0.0805482119321823,0.0745782479643821,,0.1343717128038406,0.1475575417280197,0.1524034887552261,0.0596641674637794,0.0957633405923843,0.1888475567102432,0.1345580518245697,0.1535152196884155,0.2103348225355148,0.2839325070381164,0.0640638023614883,0.1293653547763824,0.0544002316892147,,0.0892788395285606,0.0625224262475967,0.0547276735305786,0.1411915719509124,0.1446613222360611,0.1686567962169647,0.0813004374504089,0.132407546043396
urban_life,0.0728036165237426,0.0842714011669159,0.0632543340325355,,0.1932180821895599,0.1644944995641708,,0.1268357187509536,,0.0797060057520866,0.1021838262677192,0.1778853386640548,0.0882560312747955,0.10199785977602,0.1412682682275772,,0.1152445524930954,,0.0875887274742126,0.0525006055831909,0.1003623232245445,,0.1306335628032684,0.1430236995220184,0.0842377841472625,,0.1343717128038406,0.1627814322710037,,,0.0919993445277214,0.0951315760612487,,0.0544320717453956,0.1387507021427154,0.0695987343788147,,0.1293653547763824,0.1327491402626037,0.239686831831932,,0.2738803625106811,0.0547276735305786,0.0621061213314533,,0.280282974243164,0.0813004374504089,
urban_environment,0.1656496226787567,0.0995194762945175,0.0997672379016876,0.233266070485115,0.1932180821895599,0.1644944995641708,0.2221415191888809,0.0590427555143833,0.07858607172966,,0.1021838262677192,0.0536850467324256,0.130395621061325,0.10199785977602,0.1825092732906341,0.1886676847934723,0.1768213957548141,,0.1956812888383865,0.0997028276324272,0.2461036741733551,0.1222894638776779,0.1497043669223785,0.1726358532905578,0.0745782479643821,0.1803647428750991,0.1639443039894104,0.1475575417280197,0.1199835762381553,0.128261849284172,0.0722177922725677,0.0660371482372284,0.1733047813177108,0.0893442183732986,,0.1363238841295242,0.12703438103199,0.1293653547763824,,,0.1284351944923401,0.0705708935856819,0.0547276735305786,0.0795071944594383,0.0828137844800949,,0.2015935778617859,0.1011794209480285
urban_planning,0.1449576467275619,0.1535029858350753,,0.2209021002054214,0.1932180821895599,0.1644944995641708,0.1025391668081283,0.0949151590466499,0.1195889487862587,0.1435739696025848,0.1981998085975647,,0.1829804331064224,0.1696033924818039,0.1553793400526046,0.1891249269247055,,0.1112313196063041,0.1387261748313903,,0.0550685301423072,0.1179340705275535,0.1100731864571571,0.0805482119321823,0.2017094194889068,0.0527431778609752,0.1343717128038406,0.2396816462278366,0.1524034887552261,,0.1404941529035568,0.0982850492000579,0.2185277193784713,0.1305534541606903,0.1523707062005996,0.2207186967134475,0.2304281741380691,0.1293653547763824,0.1295155733823776,0.0943637862801551,0.0896785333752632,0.1230824440717697,0.1731556355953216,0.1606874316930771,,0.092516042292118,0.0987018272280693,0.1177709326148033
